Restaurants,Food Offered,Reviews,Disounts
BURGER CALIFORNIA,"Pizzas, Continental, Combo",N/A,30% off on orders above ₹199
ATH - All Things Healthy!,"Healthy Food, Snacks, Bakery, North Indian, Keto, Indian",N/A,N/A
The Red Box,Chinese,N/A,60% off | Use TRYNEW
Trippy Paradise,"American, Continental, Italian, Pizzas, Pastas, Chinese",N/A,30% off | Use TRYNEW
GOLDYS,North Indian,N/A,20% off | Use TRYNEW
TENDER COCONUT,Juices,N/A,N/A
Gongura's,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian",3.8,N/A
Punjabi Bowl,"Home Food, North Indian, Thalis, Beverages, Chinese, Healthy Food, Indian, Combo...",N/A,60% off | Use STEALDEAL
Ice cream station,"Ice Cream, Beverages",N/A,20% off | Use TRYNEW
Stoned Monkey,"Ice Cream, Beverages, Juices, Desserts, Fast Food",N/A,60% off | Use TRYNEW
Gelatissimo,"Desserts, Beverages",N/A,N/A
Kohinoor Restaurant,"Indian, Chinese",N/A,N/A
Fisherwoman,"Seafood, Tandoor, Bengali, Andhra, South Indian",N/A,20% off | Use TRYNEW
Chaiwala - Teas and Sandwiches,"North Indian, Beverages, Fast Food, Snacks",N/A,N/A
NI HAO CHINA,Chinese,N/A,30% off | Use TRYNEW
Hot Red Chilli,"Indian, Chinese",3.8,50% off | Use TRYNEW
NAMASTE INDIA,"North Indian, South Indian, Fast Food, Thalis",N/A,30% off | Use TRYNEW
Nuage,"Cafe, Continental, Desserts",N/A,N/A
Palki,"Chinese, North Indian, Desserts, Seafood",N/A,N/A
Stoned Monkey,"Ice Cream, Beverages, Juices, Desserts, Fast Food",N/A,60% off | Use TRYNEW
Gelatissimo,"Desserts, Beverages",N/A,N/A
Kohinoor Restaurant,"Indian, Chinese",N/A,N/A
Fisherwoman,"Seafood, Tandoor, Bengali, Andhra, South Indian",N/A,20% off | Use TRYNEW
Chaiwala - Teas and Sandwiches,"North Indian, Beverages, Fast Food, Snacks",N/A,N/A
NI HAO CHINA,Chinese,N/A,30% off | Use TRYNEW
Hot Red Chilli,"Indian, Chinese",3.8,50% off | Use TRYNEW
NAMASTE INDIA,"North Indian, South Indian, Fast Food, Thalis",N/A,30% off | Use TRYNEW
Nuage,"Cafe, Continental, Desserts",N/A,N/A
Palki,"Chinese, North Indian, Desserts, Seafood",N/A,N/A
The Nukkad Wala,Italian,N/A,N/A
HBH Stonerz & Falooda Bar,"Ice Cream, Waffle",N/A,N/A
Ashirvaad Grand,"Chinese, South Indian, North Indian, Desserts, Beverages",N/A,N/A
The Caffeine Baar,"Beverages, Bakery, Desserts",N/A,20% off | Use TRYNEW
Chai Nagri,"Snacks, Beverages, Combo, Cafe, Punjabi, Maharashtrian, South Indian, Street Foo...",3.8,20% off | Use TRYNEW
The SnackStop(Eswaris Homemade snacks),"Snacks, Indian, Sweets, Bakery, North Indian, South Indian, Home Food",N/A,N/A
Amrutha Mess Ela Mess,"South Indian, Biryani",N/A,N/A
Northwest Kebab & Curryhouse,"Indian, North Indian, Mughlai",N/A,30% off | Use TRYNEW
Grow Fit,"Healthy Food, Keto, Indian, Biryani, Thai",N/A,60% off | Use TRYNEW
Gyms Kitchen,Grill,N/A,N/A
MEALFUL WRAPS,"Fast Food, North Indian, Desserts, Snacks, Indian",N/A,60% off | Use STEALDEAL
Fruzo Bar,"Juices, Ice Cream, Pizzas",N/A,N/A
Biriyan,"Bengali, Indian, Biryani",N/A,N/A
Cake of the day,"Bakery, Snacks, Fast Food, Indian",N/A,N/A
The Juice Company,"Juices, Beverages",N/A,N/A
Big Bowl Company,"North Indian, Chinese, Fast Food",3.8,60% off | Use TRYNEW
Erivum Puliyum,"Kerala, South Indian, Seafood, Coastal",N/A,N/A
Venus Biryani,Biryani,N/A,40% off on all orders
Java City,"Desserts, Fast Food, Italian",N/A,30% off | Use TRYNEW
Jyothi Pork Hotel,Indian,N/A,15% off on all orders
Sea Food Magic,"Seafood, Arabian, Tandoor, Chinese, South Indian, North Indian",N/A,20% off on orders above ₹99
Karahi Kitchen,"Andhra, Bowl Company,  Keventers & more, Tandoor, Biryani, North Indian",N/A,60% off | Use TRYNEW
Cake of the day,"Bakery, Snacks, Fast Food, Indian",N/A,N/A
The Juice Company,"Juices, Beverages",N/A,N/A
Big Bowl Company,"North Indian, Chinese, Fast Food",3.8,60% off | Use TRYNEW
Erivum Puliyum,"Kerala, South Indian, Seafood, Coastal",N/A,N/A
Venus Biryani,Biryani,N/A,40% off on all orders
Java City,"Desserts, Fast Food, Italian",N/A,30% off | Use TRYNEW
Jyothi Pork Hotel,Indian,N/A,15% off on all orders
Sea Food Magic,"Seafood, Arabian, Tandoor, Chinese, South Indian, North Indian",N/A,20% off on orders above ₹99
Karahi Kitchen,"Andhra, Bowl Company,  Keventers & more, Tandoor, Biryani, North Indian",N/A,60% off | Use TRYNEW
Mandya Gowdru Donne Biryani,"Biryani, Chettinad, Combo",3.6,40% off | Use TRYNEW
APARANJI NAATI MANE,"Biryani, Kebabs, Combo",N/A,N/A
Dessert Studio by Third Wave,Indian,N/A,30% off | Use TRYNEW
Indian Burrito Company,"Tex-Mex, Salads, Healthy Food, Keto, Mexican, Fast Food, Pizzas",3.6,50% off | Use TRYNEW
The Lassi Pub,"Fast Food, Juices",N/A,20% off | Use TRYNEW
Gam's Delicacy,"North Indian, Chinese, Continental, Assamese",N/A,N/A
NAMMA ADDA,Indian,N/A,30% off | Use TRYNEW
Copper Kitchen,"Biryani, Barbecue, Chettinad, Chinese",N/A,N/A
Cream N Cha,"Desserts, Ice Cream, Beverages",N/A,N/A
ODIA KHAIBA,"Indian, Seafood",N/A,N/A
Fabcafe by Fabindia,"North Indian, Healthy Food, Biryani, Beverages",N/A,N/A
Delhi Jaipur Express Kitchen,North Indian,3.2,N/A
IceBreakers Ice Creams,"Ice Cream, Desserts, Beverages",N/A,N/A
Punjab Bistro,"North Indian, Biryani, Indian",N/A,N/A
Abhiruchi Restaurant,"Andhra, Biryani, Chinese, Mughlai, North Indian, Seafood, South Indian",N/A,N/A
nu.tree,"Chinese, Healthy Food, North Indian",N/A,N/A
Handmade by Flayvor Co.,"Pizzas, Italian, Pastas, Desserts",N/A,N/A
KOTTAYAM KITCHEN,"Chinese, Indian, Beverages",3.7,N/A
SWADISHTA BHAVAN,"South Indian, North Indian",N/A,N/A
Telugu Vantillu,"Andhra, Combo, Home Food, South Indian, Indian, Beverages, Desserts",N/A,N/A
Cookie Man,"Bakery, Desserts, Australian, Snacks, Cafe",N/A,N/A
Candy Cloud Factory,"Beverages, Ice Cream, Bakery, Combo, Desserts, Fast Food, Juices, Sweets, Snacks",N/A,N/A
Jagannath Food Corner,North Indian,N/A,N/A
CAFE MOSHI,"Continental, Italian",N/A,N/A
EXPRESS BY AB'S,"Biryani, North Indian, Chinese, South Indian",3.5,N/A
China Coast,Chinese,N/A,N/A
YOHAN KITCHEN,Biryani,N/A,N/A
GOHAPPY FRESH BAKES,"Beverages, Juices",N/A,N/A
Bready Steady GO Jayanagar,"Pizzas, Italian, Fast Food, Cafe, American",N/A,N/A
Al Taza,Arabian,N/A,N/A
Mughal Treat,"Arabian, Chinese",N/A,N/A
Amontron,"Bengali, Chinese, Street Food",N/A,N/A
Boston Barista - Kappayum Curriyum,"Kerala, South Indian, Snacks, Combo",N/A,N/A
Shree Muthahalli Veg,"South Indian, North Indian, Indian, Chaat, Beverages, Ice Cream",N/A,N/A
High N Hungry,"Andhra, Biryani, Chinese, Desserts, Fast Food, Seafood, South Indian",N/A,N/A
Bite Me,"Bakery, Desserts",N/A,N/A
Lassi Ghat,Beverages,N/A,N/A
Biryani Now by YummyEats,"Biryani, South Indian, Combo, Street Food, Beverages",N/A,N/A
RJ 14 Kitchen,"Fast Food, North Indian",N/A,N/A
8 bytes,Snacks,N/A,N/A
Meat and Eat,Fast Food,3.9,30% off | Use TRYNEW
Vadilal Ice Cream,"Ice Cream, Desserts",N/A,60% off | Use TRYNEW
dessertdash,Desserts,N/A,40% off | Use TRYNEW
Fries Box,"Snacks, American",N/A,N/A
Shanmukha Restaurant,"Biryani, Hyderabadi, Andhra, North Indian, South Indian, Chinese, Tandoor, Seafo...",3.8,50% off | Use TRYNEW
Lazzet Lee,"Fast Food, Kebabs",N/A,50% off | Use SWIGGYIT
Meat and Eat,Fast Food,N/A,30% off | Use TRYNEW
Just Bake - Cakes & confectioners,"Desserts, Bakery",N/A,40% off | Use TRYNEW
Chai Days,"Bakery, Combo, Beverages, Snacks",N/A,40% off | Use TRYNEW
public rooftop bar and kitchen,Indian,N/A,N/A
Tapri By The Corner,"Fast Food, North Indian, Chinese",N/A,40% off | Use TRYNEW
Kurtoskalacs,"Continental, Desserts, Fast Food, Juices, Snacks, Beverages",N/A,50% off | Use TRYNEW
Sardar,"North Indian, Tandoor, Biryani, Kebabs, Mughlai, Awadhi",N/A,50% off | Use TRYNEW
C. K. Mega Hot Food,Chinese,N/A,60% off | Use STEALDEAL
 IBC (Indian Biryani Company),"Biryani, South Indian",N/A,30% off | Use TRYNEW
Hummus Club Blr,"Mediterranean, Arabian",N/A,N/A
OYALO Pizza,"Pizzas, Fast Food",N/A,N/A
deli2go,"Beverages, Fast Food",N/A,20% off on all orders
Shake It Off,"Beverages, Ice Cream, Desserts, Fast Food",N/A,30% off | Use TRYNEW
Raghavendra Upahara,"South Indian, Chinese, Ice Cream",N/A,N/A
Mysore Military Hotel,"Biryani, Combo, Andhra, South Indian, Desserts, Biryani - Shivaji Military Hotel...",N/A,25% off on all orders
Hokart - Bombay Sandwich,"Fast Food, Street Food, Snacks",N/A,10% off | Use TRYNEW
Pathaan Sir,Fast Food,N/A,30% off | Use TRYNEW
Dessert Studio by Third Wave,Indian,N/A,30% off | Use TRYNEW
The Jade Kitchen,"Chinese, Thai",N/A,20% off | Use TRYNEW
Itminaan Biryani - Dum Pukht,"Biryani, North Indian, Mughlai",N/A,50% off | Use TRYNEW
Sri Lakshmi Vaibhava,"South Indian, Chinese, Chaat, Juices",N/A,N/A
Pizza Bae,Pizzas,N/A,N/A
Chakhna Food & Snacks,"North Indian, Tandoor, Biryani, Chinese, Snacks, Beverages, Thalis, Punjabi",N/A,30% off | Use TRYNEW
Maach Misti And More,"Afghani, Bengali, Tandoor",N/A,40% off | Use TRYNEW
Natural Ice Creams Mow,"Ice Cream, Desserts",3.9,20% off | Use PARTY
Sri Srinivas Pork Hotel,"South Indian, Chinese, Snacks",3.1,10% off | Use TRYNEW
Don's Burger House,"American, Continental, Fast Food",N/A,N/A
The Burger Place,"Continental, American, Desserts, Fast Food, Beverages",3.8,50% off | Use TRYNEW
DVG Benne Dosa,South Indian,N/A,30% off | Use PARTY
Lucky Chan,"Asian, Chinese, Japanese",N/A,60% off | Use TRYNEW
NAATI STYLE BIRIYANI GRAND  FAMILY RESTAURANT,"Biryani, Chinese, Kebabs, North Indian",3.9,40% off | Use TRYNEW
Eat Again,Chinese,N/A,N/A
Meal Studio,"North Indian, Indian, Combo, Desserts, Beverages, Home Food, Healthy Food, Thali...",N/A,50% off | Use TRYNEW
Maggie's Kitchen,"Chinese, North Indian, Continental, Italian",N/A,50% off on all orders
Pastawallah,Pastas,N/A,50% off on all orders
Andhra Meal Express,"Desserts, Beverages, Kebabs, Home Food",N/A,30% off | Use TRYNEW
Jhakaas snacks centre,"Maharashtrian, Snacks, Fast Food",N/A,N/A
Pizza Stop,"Italian, Pizzas",N/A,30% off | Use TRYNEW
Sandice Cafe,"Beverages, Snacks",N/A,N/A
Ola Foods Central,"Biryani, Indian, Home Food",N/A,N/A
Crispy,Fast Food,N/A,N/A
Gudbud,"Ice Cream, Desserts",N/A,N/A
Roof Top Cafe,"Continental, American, Desserts, Fast Food, Italian",N/A,N/A
RAWCHEF,Chinese,N/A,N/A
Espressoulster,"Continental, Italian, Cafe, Beverages",N/A,30% off on orders above ₹159
TAPAS HIDEOUT,"North Indian, Snacks, Cafe",N/A,N/A
Sinful Desserts,"Beverages, Desserts, Juices",N/A,Free Delivery | Use FREEDEL
The Bangalore Creamery,"Beverages, Desserts",N/A,20% off | Use TRYNEW
The Wok pops,Chinese,3.9,30% off | Use TRYNEW
green Go,Juices,N/A,N/A
Wowfillzz,"Ice Cream, Desserts, Beverages",N/A,N/A
Tomba kitchen,Chinese,N/A,N/A
Sai ram hot chips,"Snacks, Beverages, Indian, Fast Food",N/A,N/A
Millennials,"Fast Food, Continental, Indian, Chinese",N/A,10% off | Use PARTY
Waffl'd,"Beverages, Desserts, Snacks",N/A,Free Delivery | Use FREEDEL
Burger and Beyond,"American, Fast Food, Beverages",N/A,40% off | Use TRYNEW
CM CAFE,"Beverages, Juices, Ice Cream",N/A,10% off on all orders
UDUPI UPAHAR,Indian,N/A,25% off on orders above ₹199
Chinese Mirch,"Chinese, Pan-Asian, Combo, Fast Food",3.6,20% off | Use TRYNEW
NATURAL MUMBAI KULFI,"Desserts, Ice Cream, Beverages",N/A,30% off | Use SWIGGYIT
Arbor Brewing Company,"Continental, American, Desserts, Fast Food, Beverages, Seafood",N/A,N/A
Madurai Dosa Villas,South Indian,N/A,N/A
Dr.Bubbles Jayanagar Bengaluru,"Desserts, Beverages",N/A,20% off on orders above ₹100
HomeSe Just Veg,"Home Food, South Indian, North Indian",3.5,50% off | Use TRYNEW
TBC (To Be Continued),North Indian,3.9,N/A
SHIMLA MIRCH,"North Indian, Chinese, Fast Food, Bengali, Continental, Pizzas, Italian",N/A,N/A
Cafe On The Way (Cafe OTW),"American, Continental, Cafe, Italian, Middle Eastern, Fast Food, Combo, Desserts...",N/A,30% off | Use TRYNEW
Call A Cake,Desserts,N/A,50% off | Use SPECIALS
SoupWala,"Indian, Chinese, Fast Food",3.6,20% off on all orders
The Tea Pie,"Continental, Fast Food, North Indian, Street Food",3.7,15% off | Use TRYNEW
Tasty Shawarma Rolls,Indian,N/A,30% off | Use TRYNEW
Foodeo - Polo Peppinos,"Fast Food, Snacks",N/A,50% off | Use TRYNEW
MY CAKE AND MORE,"Bakery, Desserts",3.9,40% off | Use TRYNEW
Prerana foods,"North Indian, Biryani",N/A,30% off | Use TRYNEW
Watson's,"North Indian, South Indian, Chinese, Fast Food",N/A,N/A
rock and roll,Indian,N/A,N/A
Shahirazz Biriyanis and Kebabs,"South Indian, Biryani, Desserts, Beverages, Indian",N/A,N/A
THAR the taste of Rajasthan,"Thalis, Sweets",N/A,N/A
Sri Vishnu Grand Veg,"South Indian, Indian, Chinese",N/A,20% off | Use TRYNEW
SODO PIZZA BY FRESH PRESSERY,"Pizzas, Italian, Pastas, Desserts, Beverages",N/A,30% off | Use TRYNEW
Cafe Noir,"European, Italian, Pizzas, Pastas, Desserts, Fast Food, Continental, Salads, Bri...",N/A,50% off | Use TRYNEW
Bonum cibum,"Lebanese, Turkish, Mediterranean, Arabian, Italian, European, Continental, Pasta...",3.8,N/A
Sweet Chariot,Desserts,N/A,N/A
five star new ambur biriyani,South Indian,3.6,20% off | Use SWIGGYIT
Paratha 18,Indian,N/A,30% off | Use TRYNEW
New Udupi Garden Veg,"Chinese, Fast Food, Chaat, Juices, North Indian, South Indian",N/A,20% off | Use TRYNEW
The Fisherman's Wharf,"Chinese, North Indian, Continental, American, Desserts, Italian, Seafood, Pan-As...",N/A,10% off | Use PARTY
Koyla - Rolls & Kebabs,"North Indian, Fast Food, Tandoor, Kebabs",3.8,30% off | Use TRYNEW
Shahiya,"Biryani, Kebabs",3.5,60% off | Use TRYNEW
Punjabi Dhaba,"North Indian, Chinese",N/A,30% off | Use TRYNEW
NEW Mahesh friends food center,"Chinese, North Indian",3.0,40% off | Use TRYNEW
Toscano,"Italian, Pizzas, Pastas, Continental, Salads, Desserts, Beverages, Combo",N/A,50% off | Use TRYNEW
US Pizza - Kempfort Mall,"Pizzas, Italian, Fast Food",3.0,50% off | Use TRYNEW
Lavonne,Cafe,N/A,N/A
Amata,"Continental, Cafe",N/A,N/A
FOOD THREAD,"North Indian, Chaat, Snacks, Bakery",N/A,20% off | Use TRYNEW
Saarangi express,"Chinese, North Indian, South Indian",N/A,N/A
Hiyar Majhe Kolkata,"North Indian, Bengali, Chinese, Desserts",N/A,40% off | Use TRYNEW
Hokart - Kolkata Katti King Roll,"Fast Food, Street Food, Snacks",N/A,N/A
POP Home Kitchen,"Fast Food, Beverages",N/A,N/A
Chat bandi,"Chaat, Snacks, Pizzas, Fast Food",3.8,N/A
Sri Udupi Park - Kodihalli,"South Indian, Chaat, North Indian, Beverages, Chinese",N/A,10% off | Use TRYNEW
CSMUMBAISTYLEVADAPAVCHATS,"Maharashtrian, Fast Food",N/A,N/A
Hotel Navya foods,"Chinese, Tandoor",N/A,N/A
Dilli Da Dhaba,"North Indian, Tandoor, Biryani, Chinese, Punjabi, Fast Food, Combo",3.9,60% off | Use STEALDEAL
DTR(Dilli Tiffin Room),Indian,N/A,30% off | Use TRYNEW
Bombay Kulfis,"Ice Cream, Desserts, Sweets",N/A,60% off | Use STEALDEAL
The Digitale Chef,"Desserts, Bakery",N/A,N/A
Lo! - Low Carb and Keto Foods,"Healthy Food, Keto, North Indian, Continental",N/A,60% off | Use STEALDEAL
Mr Biriyani,Biryani,N/A,50% off | Use TRYNEW
Combo House,"Combo, Chinese, North Indian, South Indian",N/A,20% off on orders above ₹99
basil bistro,"Chinese, Continental, Italian, Indian, American, Lebanese, Mediterranean, Mexica...",N/A,N/A
Sri upahara veg,South Indian,N/A,N/A
Pa Pizza,"Italian, Pizzas",N/A,50% off | Use SWIGGYIT
Chef Bakers Cakes & Savouries,"Bakery, Beverages, Desserts",N/A,N/A
MALABAR MAGIC,Indian,N/A,20% off | Use TRYNEW
RED HOT CHILLY PEPPER,"Indian, Fast Food, Chinese",N/A,40% off | Use TRYNEW
Shaap,Kerala,N/A,N/A
Smoke Tales,"Indian, Combo, Kebabs",N/A,50% off | Use SWIGGYIT
Kadala Mane,"Seafood, Mangalorean, South Indian, North Indian, Coastal, Biryani",N/A,30% off | Use TRYNEW
Uncle Peter's Pancakes,"American, Continental, Desserts, French, Beverages",N/A,60% off | Use STEALDEAL
Zahra Chocolaterie,Fast Food,N/A,20% off on orders above ₹400
Madurai Tiffins,South Indian,N/A,N/A
Shetty Lunch Home,Indian,N/A,N/A
Thalassery Cafe,"Kerala, Snacks, Biryani, Indian, Beverages",N/A,N/A
Seven2Eleven,Indian,N/A,25% off | Use TRYNEW
Cocoberry,"Desserts, Beverages",N/A,30% off | Use TRYNEW
Chandni Chowk,"Fast Food, Chaat, North Indian, Combo, Sweets, Snacks, Street Food",3.8,60% off | Use STEALDEAL
Biryani Rhythms,Biryani,N/A,50% off | Use SWIGGYIT
SALMAN KHAN BRIYANI HOUSE,"Chinese, Indian, Biryani, Kebabs",N/A,N/A
Chainaama,"Snacks, Beverages, Bakery",N/A,20% off | Use TRYNEW
KRUST,"Pizzas, Ice Cream, Cafe, Continental, Italian",N/A,50% off | Use SWIGGYIT
SMOOR BAKESHOP,"Beverages, Bakery",N/A,60% off | Use TRYNEW
The OrgaBlend Juicery,"Healthy Food, Beverages, Juices, Ice Cream, Snacks, Fast Food",N/A,N/A
AGADI,"Fast Food, Snacks, Beverages, Juices",N/A,N/A
SMOOR BAKESHOP,"Beverages, Bakery",N/A,60% off | Use TRYNEW
Dragon Chilly,"Beverages, Biryani, Chinese",N/A,30% off | Use TRYNEW
SMOOR BAKESHOP,"Beverages, Bakery",N/A,60% off | Use TRYNEW
Dragon Chilly,"Beverages, Biryani, Chinese",N/A,30% off | Use TRYNEW
Connie's Restaurant,"American, Continental",3.6,60% off | Use TRYNEW
Cinnaspice,"Indian, North Indian, Beverages",N/A,50% off | Use SWIGGYIT
CHOLAY,"North Indian, Indian, Snacks, Combo",N/A,20% off | Use TRYNEW
Haka,"Asian, Chinese",N/A,30% off | Use TRYNEW
CHICKPET DONNE BIRIYANI HOUSE,"Biryani, South Indian",N/A,20% off | Use TRYNEW
The Fruit Bowl,"Healthy Food, Combo",N/A,30% off on orders above ₹149
Aromas of China,Chinese,N/A,40% off | Use TRYNEW
Johnny s cake shop,"Bakery, Desserts",N/A,30% off | Use TRYNEW
The Paratha Gallery,"Indian, Kerala",N/A,50% off | Use TRYNEW
Sri Ganesh Juice Junction,"Fast Food, Beverages",3.5,20% off | Use TRYNEW
DOCTOR JUICE - Immunity Health Bar!,"Beverages, Juices, Healthy Food",N/A,30% off | Use TRYNEW
Cuppa Redefined,"American, Continental, Beverages, Desserts",N/A,N/A
Bombay Sandwich Company,"Maharashtrian, Indian, Street Food, Fast Food, Continental, Combo, Home Food, Be...",3.7,50% off | Use TRYNEW
Flavourmore,"Fast Food, Salads",N/A,20% off | Use TRYNEW
Oottupura,"Kerala, South Indian",N/A,N/A
Food Springs,Chinese,N/A,N/A
Gourmand,"Chinese, Pan-Asian",N/A,N/A
the fresh bowl,"American, Biryani, Chinese, Continental, Desserts, Indian",N/A,N/A
Ande Ka Funda,"Beverages, Chinese, Fast Food, Mughlai, North Indian",3.6,20% off | Use TRYNEW
Go italia,"Pizzas, Pastas, Fast Food, Continental, Italian, Salads, Juices, Desserts",N/A,30% off | Use TRYNEW
Infinitea,"Italian, French, Pastas, Salads, Desserts, Beverages",N/A,30% off | Use TRYNEW
Shenmi by Mystic Hospitality,"Chinese, Continental",N/A,20% off on orders above ₹149
Mizo kitchen,"Fast Food, Beverages, Chinese",N/A,N/A
Bottle Shake,"Desserts, Juices",N/A,50% off | Use TRYNEW
Raghavendra Tiffin - KRM,Indian,N/A,N/A
HSR Food Point,"North Indian, Chinese",N/A,N/A
HBH Hyderabadi Biryani House,"Biryani, Indian, Andhra, Chinese, Desserts, Fast Food, Mughlai, North Indian, So...",3.7,40% off | Use TRYNEW
Cake Express ,"Desserts, Bakery",N/A,30% off | Use TRYNEW
SCHEZWAN MOMOS,Indian,N/A,N/A
Kunafa Lounge,"Desserts, Beverages, Bakery, Ice Cream, Juices",N/A,N/A
Bhojori Manna,"Bengali, Mughlai",N/A,N/A
Momo Hut,"Tibetan, Chinese",3.7,10% off on orders above ₹199
Biryani Bhai,Biryani,N/A,30% off | Use TRYNEW
Cafe Soy,"Chinese, Pan-Asian",N/A,25% off | Use TRYNEW
FALOODA PALACE,"Beverages, Desserts",N/A,N/A
BANOFFEE,"American, Cafe, Continental, Italian, Japanese, Sushi, Asian, German, Mexican, B...",N/A,20% off | Use TRYNEW
